rn,id,e_btc,d_btc,btc,vl_btc,m_btc,pm_btc,e_eth,d_eth,eth,vl_eth,m_eth,pm_eth,e_bnb,d_bnb,bnb,vl_bnb,m_bnb,pm_bnb,e_shib,d_shib,shib,vl_shib,m_shib,pm_shib,total_net_balance_usdt
0,0000000000000000000000000000000000000000000000000000000000000000,406.35305309,203.17652655,203.17652654,203.17652655,101.58826327,203.17652655,931.8950931,465.94754655,465.94754655,465.94754655,232.97377328,465.94754655,808.94538047,404.47269024,404.47269023,404.47269024,202.23634512,404.47269024,417.1,208.55,208.55,208.55,104.28,208.55,0.0
1,0000000000000000000000000000000000000000000000000000000000000001,25644.85513584,20056.54194256,5588.313193279999,12822.42756792,6411.21378396,3205.60689198,445836.15200607,351031.45549856,94804.69650751003,222918.07600304,111459.03800152,55729.51900076,2562704.70291636,1838066.90832837,724637.79458799,1281352.35145818,640676.17572909,320338.08786454,2199171100931.94,1348566579444.34,850604521487.5999,1099585550465.97,549792775232.98,274896387616.49,0.0
2,0000000000000000000000000000000000000000000000000000000000000002,879.90328598,439.95164299,439.95164299,439.95164299,219.97582149,439.95164299,420.96262987,210.48131494,210.48131493,210.48131494,105.24065747,210.48131494,662.05996265,331.02998132,331.02998133,331.02998132,165.51499066,331.02998132,443.76,221.88,221.88,221.88,110.94,221.88,0.0
3,0000000000000000000000000000000000000000000000000000000000000003,15114.77596206,12637.41116783,2477.3647942300013,7557.38798103,3778.69399052,1889.34699526,764729.68727377,505238.93101031,259490.75626345997,382364.84363688,191182.42181844,95591.21090922,169268.96417474,148522.93675307,20746.027421669976,84634.48208737,42317.24104368,21158.62052184,6126114587003.8,2780565813887.02,3345548773116.78,3063057293501.9,1531528646750.95,765764323375.47,0.0
4,0000000000000000000000000000000000000000000000000000000000000004,595.66882713,297.83441356,297.83441357,297.83441356,148.91720678,297.83441356,346.30104891,173.15052446,173.15052445,173.15052446,86.57526223,173.15052446,589.03113111,294.51556556,294.51556555,294.51556556,147.25778278,294.51556556,546.14,273.07,273.07,273.07,136.53,273.07,0.0
5,0000000000000000000000000000000000000000000000000000000000000005,18470.29247459,15189.50447967,3280.7879949200014,9235.1462373,4617.57311865,2308.78655932,394056.31139728,316459.32498077,77596.98641651002,197028.15569864,98514.07784932,49257.03892466,1172204.94117869,1003874.50011661,168330.44106207998,586102.47058934,293051.23529467,146525.61764734,2581387992064.11,1582602759595.7,998785232468.4099,1290693996032.05,645346998016.03,322673499008.01,0.0
6,0000000000000000000000000000000000000000000000000000000000000006,625.97714178,312.98857089,312.98857089,312.98857089,156.49428545,312.98857089,146.22434559,73.1121728,73.11217279000002,73.1121728,36.5560864,73.1121728,857.64567785,428.82283892,428.82283893,428.82283892,214.41141946,428.82283892,538.43,269.21,269.21999999999997,269.21,134.61,269.21,0.0
7,0000000000000000000000000000000000000000000000000000000000000007,37307.3362865,25772.39928265,11534.937003850002,18653.66814325,9326.83407163,4663.41703581,642519.78044387,450465.97839298,192053.80205089,321259.89022193,160629.94511097,80314.97255548,680201.96765031,590377.14841514,89824.81923517003,340100.98382516,170050.49191258,85025.24595629,7134955575011.77,2939773532307.03,4195182042704.7397,3567477787505.88,1783738893752.94,891869446876.47,0.0
8,0000000000000000000000000000000000000000000000000000000000000008,810.81303497,405.40651748,405.40651749,405.40651748,202.70325874,405.40651748,645.81985806,322.90992903,322.90992903,322.90992903,161.45496452,322.90992903,407.85095809,203.92547905,203.92547904,203.92547905,101.96273952,203.92547905,513.2,256.6,256.6,256.6,128.3,256.6,0.0
9,0000000000000000000000000000000000000000000000000000000000000009,15084.224043,12613.68951217,2470.53453083,7542.1120215,3771.05601075,1885.52800538,71212.18447207,62202.63694819,9009.547523880006,35606.09223604,17803.04611802,8901.52305901,4491374.4079757,2702472.56176465,1788901.8462110497,2245687.20398785,1122843.60199392,561421.80099696,1129791307301.56,693771964557.05,436019342744.51,564895653650.78,282447826825.39,141223913412.7,0.0
10,000000000000000000000000000000000000000000000000000000000000000a,539.93893464,124.59268563,0,269.96946732,134.98473366,67.49236683,646.8556223,2236.69080675,0,323.42781115,161.71390558,80.85695279,396.72539245,14173.80829993,0,198.36269623,99.18134811,49.59067406,230.73,331038158445.0,0,115.36,57.68,28.84,0.0
11,000000000000000000000000000000000000000000000000000000000000000b,548.92405226,119.83653906,0,274.46202613,137.23101307,68.61550653,147.15168709,2151.30835221,0,73.57584354,36.78792177,18.39396089,24.77183642,13632.74355416,0,12.38591821,6.1929591,3.09647955,804.37,318401252876.05,0,402.19,201.09,100.55,0.0
12,000000000000000000000000000000000000000000000000000000000000000c,639.83731158,140.38172277,0,319.91865579,159.9593279,79.97966395,109.27629453,2520.13597066,0,54.63814727,27.31907363,13.65953682,792.50068886,15969.98746105,0,396.25034443,198.12517221,99.06258611,168.99,372989046248.14,0,84.5,42.25,21.12,0.0
13,000000000000000000000000000000000000000000000000000000000000000d,665.62193462,144.16258598,0,332.81096731,166.40548366,83.20274183,72.98432048,2588.01011553,0,36.49216024,18.24608012,9.12304006,89.58394011,16400.10284177,0,44.79197006,22.39598503,11.19799251,739.46,383034659998.42,0,369.73,184.87,92.43,0.0
14,000000000000000000000000000000000000000000000000000000000000000e,118.92116888,34.31625467,0,59.46058444,29.73029222,14.86514611,576.83128651,616.04620633,0,288.41564326,144.20782163,72.10391081,972.19072152,3903.85689703,0,486.09536076,243.04768038,121.52384019,509.25,91177019660.31,0,254.62,127.31,63.66,0.0
15,000000000000000000000000000000000000000000000000000000000000000f,316.90506526,76.83338107,0,158.45253263,79.22626632,39.61313316,693.09640003,1379.31465416,0,346.54820002,173.27410001,86.63705,207.64453818,8740.65446789,0,103.82226909,51.91113455,25.95556727,810.05,204143452304.81,0,405.02,202.51,101.26,0.0
16,0000000000000000000000000000000000000000000000000000000000000010,602.83633469,142.30741304,0,301.41816734,150.70908367,75.35454184,991.52638376,2554.70600759,0,495.76319188,247.88159594,123.94079797,429.8462672,16189.05621876,0,214.9231336,107.4615668,53.7307834,186.89,378105534110.0,0,93.44,46.72,23.36,0.0
