rn,id,e_btc,d_btc,btc,vl_btc,m_btc,pm_btc,e_eth,d_eth,eth,vl_eth,m_eth,pm_eth,e_bnb,d_bnb,bnb,vl_bnb,m_bnb,pm_bnb,e_shib,d_shib,shib,vl_shib,m_shib,pm_shib,total_net_balance_usdt
1000,00000000000000000000000000000000000000000000000000000000000003e8,919.06828243,459.53414121,459.53414122,459.53414121,229.76707061,459.53414121,256.74403989,128.37201995,128.37201994,128.37201995,64.18600997,128.37201995,787.12859498,393.56429749,393.56429749,393.56429749,196.78214875,393.56429749,432.36,216.18,216.18,216.18,108.09,216.18,0.0
1001,00000000000000000000000000000000000000000000000000000000000003e9,13475.42367188,11364.55657402,2110.8670978600003,6737.71183594,3368.85591797,1684.42795899,392995.31081564,315715.89513573,77279.41567991005,196497.65540782,98248.82770391,49124.41385196,544434.42256834,474677.74359058,69756.67897775996,272217.21128417,136108.60564208,68054.30282104,5090540368395.89,2614761411432.2,2475778956963.6895,2545270184197.94,1272635092098.97,636317546049.49,0.0
1002,00000000000000000000000000000000000000000000000000000000000003ea,412.54382971,206.27191486,206.27191485,206.27191486,103.13595743,206.27191486,555.47747693,277.73873846,277.73873847,277.73873846,138.86936923,277.73873846,887.56647838,443.78323919,443.78323919,443.78323919,221.8916196,443.78323919,265.61,132.81,132.8,132.81,66.4,132.81,0.0
1003,00000000000000000000000000000000000000000000000000000000000003eb,23308.39065518,18551.74133229,4756.64932289,11654.19532759,5827.09766379,2913.5488319,584725.17909956,424563.16050299,160162.01859657,292362.58954978,146181.29477489,73090.64738745,231103.6413022,202779.0012651,28324.640037100005,115551.8206511,57775.91032555,28887.95516278,2597814151280.69,1592660702211.01,1005153449069.6799,1298907075640.34,649453537820.17,324726768910.09,0.0
1004,00000000000000000000000000000000000000000000000000000000000003ec,859.47409436,429.73704718,429.73704718,429.73704718,214.86852359,429.73704718,381.79982377,190.89991188,190.89991189,190.89991188,95.44995594,190.89991188,222.00365046,111.00182523,111.00182523,111.00182523,55.50091261,111.00182523,514.25,257.12,257.13,257.12,128.56,257.12,0.0
1005,00000000000000000000000000000000000000000000000000000000000003ed,35392.9923334,24914.41425216,10478.578081239997,17696.4961667,8848.24808335,4424.12404167,294268.78648067,244669.24036617,49599.54611449997,147134.39324033,73567.19662017,36783.59831008,169780.25232933,148971.56015321,20808.692176119977,84890.12616466,42445.06308233,21222.53154117,4490258539528.67,2447764062249.89,2042494477278.7798,2245129269764.33,1122564634882.17,561282317441.08,0.0
1006,00000000000000000000000000000000000000000000000000000000000003ee,139.55571008,69.77785504,69.77785504,69.77785504,34.88892752,69.77785504,803.31343398,401.65671699,401.65671699,401.65671699,200.8283585,401.65671699,315.19400402,157.59700201,157.59700201,157.59700201,78.79850101,157.59700201,482.2,241.1,241.1,241.1,120.55,241.1,0.0
1007,00000000000000000000000000000000000000000000000000000000000003ef,11997.05267415,10216.69389246,1780.35878169,5998.52633707,2999.26316854,1499.63158427,774329.91947971,509541.63508211,264788.28439760004,387164.95973986,193582.47986993,96791.23993496,4349913.9754853,2639071.76417786,1710842.2113074395,2174956.98774265,1087478.49387132,543739.24693566,1612407841613.98,989284101223.22,623123740390.76,806203920806.99,403101960403.49,201550980201.75,0.0
1008,00000000000000000000000000000000000000000000000000000000000003f0,17.89630725,8.94815362,8.94815363,8.94815362,4.47407681,8.94815362,75.53064439,37.7653222,37.765322190000006,37.7653222,18.8826611,37.7653222,5.22426992,2.61213496,2.61213496,2.61213496,1.30606748,2.61213496,275.31,137.66,137.65,137.66,68.83,137.66,0.0
1009,00000000000000000000000000000000000000000000000000000000000003f1,23628.28471712,18767.80977775,4860.47493937,11814.14235856,5907.07117928,2953.53558964,647374.2444293,452641.68847046,194732.55595883995,323687.12221465,161843.56110732,80921.78055366,4208303.44199566,2575603.69319948,1632699.74879618,2104151.72099783,1052075.86049891,526037.93024946,2590571656716.95,1588226032258.46,1002345624458.4902,1295285828358.48,647642914179.24,323821457089.62,0.0
1010,00000000000000000000000000000000000000000000000000000000000003f2,762.84307891,175.91957639,0,381.42153946,190.71076973,95.35538486,900.55374596,3158.1123501,0,450.27687298,225.13843649,112.56921825,587.41462594,20012.81487144,0,293.70731297,146.85365648,73.42682824,925.82,467411809173.04,0,462.91,231.46,115.73,0.0
1011,00000000000000000000000000000000000000000000000000000000000003f3,847.20723044,194.76170978,0,423.60361522,211.80180761,105.9009038,980.6252458,3496.36676952,0,490.3126229,245.15631145,122.57815573,451.69811816,22156.31780129,0,225.84905908,112.92452954,56.46226477,307.22,517474660842.87,0,153.61,76.81,38.4,0.0
1012,00000000000000000000000000000000000000000000000000000000000003f4,200.38180284,51.86276579,0,100.19090142,50.09545071,25.04772536,633.66561439,931.04158459,0,316.83280719,158.4164036,79.2082018,628.54260947,5899.96833687,0,314.27130474,157.13565237,78.56782618,736.36,137797450889.25,0,368.18,184.09,92.05,0.0
1013,00000000000000000000000000000000000000000000000000000000000003f5,115.269147,33.17900077,0,57.6345735,28.81728675,14.40864338,582.30887252,595.63019788,0,291.15443626,145.57721813,72.78860907,751.23580151,3774.48157653,0,375.61790075,187.80895038,93.90447519,456.95,88155378126.92,0,228.47,114.24,57.12,0.0
1014,00000000000000000000000000000000000000000000000000000000000003f6,90.56889315,30.07311588,0,45.28444657,22.64222329,11.32111164,821.40683653,539.8732797,0,410.70341826,205.35170913,102.67585457,402.74074879,3421.15251226,0,201.37037439,100.6851872,50.3425936,889.25,79903156826.41,0,444.62,222.31,111.16,0.0
1015,00000000000000000000000000000000000000000000000000000000000003f7,365.8846959,81.96295457,0,182.94234795,91.47117397,45.73558699,154.22435889,1471.4008775,0,77.11217944,38.55608972,19.27804486,764.44395227,9324.20069295,0,382.22197613,191.11098807,95.55549403,992.09,217772539394.31,0,496.05,248.02,124.01,0.0
1016,00000000000000000000000000000000000000000000000000000000000003f8,823.59736574,185.38912198,0,411.79868287,205.89934143,102.94967072,537.35556513,3328.10985405,0,268.67778256,134.33889128,67.16944564,987.68464726,21090.08135149,0,493.84232363,246.92116182,123.46058091,388.17,492572041635.68,0,194.09,97.04,48.52,0.0
1017,00000000000000000000000000000000000000000000000000000000000003f9,530.1887167,115.42795246,0,265.09435835,132.54717917,66.27358959,21.63387374,2072.16530241,0,10.81693687,5.40846843,2.70423422,619.01682419,13131.2176335,0,309.50841209,154.75420605,77.37710302,956.1,306687801298.38,0,478.05,239.03,119.51,0.0
1018,00000000000000000000000000000000000000000000000000000000000003fa,253.85638036,60.09452657,0,126.92819018,63.46409509,31.73204755,315.7003544,1078.81834655,0,157.8501772,78.9250886,39.4625443,915.43063393,6836.42298187,0,457.71531696,228.85765848,114.42882924,654.42,159668934867.48,0,327.21,163.6,81.8,0.0
1019,00000000000000000000000000000000000000000000000000000000000003fb,453.36984048,103.20503609,0,226.68492024,113.34246012,56.67123006,397.35434964,1852.7392219,0,198.67717482,99.33858741,49.66929371,510.15765186,11740.72450324,0,255.07882593,127.53941296,63.76970648,761.55,274211964499.32,0,380.77,190.39,95.19,0.0
1020,00000000000000000000000000000000000000000000000000000000000003fc,511.97107972,116.8929901,0,255.98553986,127.99276993,63.99638496,428.34727064,2098.46569235,0,214.17363532,107.08681766,53.54340883,889.27880272,13297.88201283,0,444.63940136,222.31970068,111.15985034,369.55,310580352124.91,0,184.78,92.39,46.19,0.0
1021,00000000000000000000000000000000000000000000000000000000000003fd,160.48749103,45.82601718,0,80.24374552,40.12187276,20.06093638,835.72898248,822.66973222,0,417.86449124,208.93224562,104.46612281,692.55697356,5213.22081868,0,346.27848678,173.13924339,86.56962169,362.01,121758033046.94,0,181.0,90.5,45.25,0.0
1022,00000000000000000000000000000000000000000000000000000000000003fe,852.98162314,184.53915018,0,426.49081157,213.24540579,106.62270289,71.52777872,3312.85114048,0,35.76388936,17.88194468,8.94097234,147.12125132,20993.38757496,0,73.56062566,36.78031283,18.39015641,27.15,490313698003.68,0,13.57,6.79,3.39,0.0
1023,00000000000000000000000000000000000000000000000000000000000003ff,618.51468375,134.06721484,0,309.25734188,154.62867094,77.31433547,87.27565379,2406.77777658,0,43.6378269,21.81891345,10.90945672,16.70441775,15251.64172129,0,8.35220888,4.17610444,2.08805222,361.68,356211632176.54,0,180.84,90.42,45.21,0.0
1024,0000000000000000000000000000000000000000000000000000000000000400,878.97935302,193.03063702,0,439.48967651,219.74483825,109.87241913,275.72708983,3465.29051071,0,137.86354492,68.93177246,34.46588623,388.29073967,21959.38895726,0,194.14536983,97.07268492,48.53634246,788.97,512875264513.12,0,394.49,197.24,98.62,0.0
1025,0000000000000000000000000000000000000000000000000000000000000401,241.13006493,56.18911911,0,120.56503247,60.28251623,30.14125812,230.48338126,1008.70838063,0,115.24169063,57.62084531,28.81042266,836.9215769,6392.13930441,0,418.46078845,209.23039422,104.61519711,715.66,149292411684.78,0,357.83,178.91,89.46,0.0
1026,0000000000000000000000000000000000000000000000000000000000000402,757.86982398,168.24478007,0,378.93491199,189.46745599,94.733728,405.4544171,3020.33422701,0,202.72720855,101.36360428,50.68180214,229.99397381,19139.72114802,0,114.9969869,57.49849345,28.74924673,321.15,447020159149.63,0,160.57,80.29,40.14,0.0
1027,0000000000000000000000000000000000000000000000000000000000000403,669.94307559,155.56341566,0,334.9715378,167.4857689,83.74288445,856.28563678,2792.67807652,0,428.14281839,214.0714092,107.0357046,666.24865985,17697.07443722,0,333.12432992,166.56216496,83.28108248,246.98,413326242855.08,0,123.49,61.74,30.87,0.0
1028,0000000000000000000000000000000000000000000000000000000000000404,226.7573957,57.94474111,0,113.37869785,56.68934892,28.34467446,614.57859042,1040.22534779,0,307.28929521,153.6446476,76.8223238,966.84930948,6591.86089732,0,483.42465474,241.71232737,120.85616368,129.7,153957034411.47,0,64.85,32.42,16.21,0.0
1029,0000000000000000000000000000000000000000000000000000000000000405,602.24424948,134.63187588,0,301.12212474,150.56106237,75.28053119,291.37491902,2416.91458488,0,145.68745951,72.84372975,36.42186488,873.03277673,15315.87821627,0,436.51638837,218.25819418,109.12909709,36.11,357711915696.24,0,18.05,9.03,4.51,0.0
1030,0000000000000000000000000000000000000000000000000000000000000406,56.95530367,23.81220513,0,28.47765183,14.23882592,7.11941296,860.00745035,427.47726339,0,430.00372517,215.00186259,107.50093129,669.50849226,2708.90404955,0,334.75424613,167.37712307,83.68856153,808.73,63268148474.49,0,404.37,202.18,101.09,0.0
1031,0000000000000000000000000000000000000000000000000000000000000407,816.16335403,187.31012932,0,408.08167702,204.04083851,102.02041925,934.20555878,3362.59582282,0,467.10277939,233.5513897,116.77569485,334.93875127,21308.61737308,0,167.46937564,83.73468782,41.86734391,406.95,497676087112.23,0,203.47,101.74,50.87,0.0
1032,0000000000000000000000000000000000000000000000000000000000000408,260.49267079,64.52392319,0,130.24633539,65.1231677,32.56158385,654.93548451,1158.33497834,0,327.46774226,163.73387113,81.86693556,354.28032947,7340.31627469,0,177.14016474,88.57008237,44.28504118,338.17,171437677902.7,0,169.09,84.54,42.27,0.0
1033,0000000000000000000000000000000000000000000000000000000000000409,578.95067324,136.26145624,0,289.47533662,144.73766831,72.36883416,941.20796338,2446.16884967,0,470.60398169,235.30199085,117.65099542,267.15805094,15501.2611667,0,133.57902547,66.78951274,33.39475637,410.68,362041650459.03,0,205.34,102.67,51.34,0.0
1034,000000000000000000000000000000000000000000000000000000000000040a,45.29894607,14.74546098,0,22.64947303,11.32473652,5.66236826,347.49453337,264.71086043,0,173.74726668,86.87363334,43.43681667,446.2582003,1677.46072879,0,223.12910015,111.56455007,55.78227504,885.56,39178144558.89,0,442.78,221.39,110.69,0.0
1035,000000000000000000000000000000000000000000000000000000000000040b,821.58234445,179.72772662,0,410.79117223,205.39558611,102.69779306,98.9935406,3226.47635218,0,49.4967703,24.74838515,12.37419258,999.44683183,20446.03445509,0,499.72341591,249.86170796,124.93085398,13.41,477529923524.36,0,6.71,3.35,1.68,0.0
1036,000000000000000000000000000000000000000000000000000000000000040c,696.94680552,155.27346738,0,348.47340276,174.23670138,87.11835069,299.49628481,2787.47291816,0,149.74814241,74.8740712,37.4370356,969.21517279,17664.08958456,0,484.60758639,242.3037932,121.1518966,336.19,412555860989.44,0,168.09,84.05,42.02,0.0
1037,000000000000000000000000000000000000000000000000000000000000040d,987.19693364,224.38742485,0,493.59846682,246.79923341,123.3996167,890.90181736,4028.20829923,0,445.45090868,222.72545434,111.36272717,769.34919812,25526.57347784,0,384.67459906,192.33729953,96.16864976,896.74,596189090235.63,0,448.37,224.19,112.09,0.0
1038,000000000000000000000000000000000000000000000000000000000000040e,873.86919506,200.04119218,0,436.93459753,218.46729877,109.23364938,987.72020867,3591.14416101,0,493.86010434,246.93005217,123.46502608,166.92719975,22756.91783687,0,83.46359987,41.73179994,20.86589997,412.21,531502050344.27,0,206.1,103.05,51.53,0.0
1039,000000000000000000000000000000000000000000000000000000000000040f,319.29140274,79.1289977,0,159.64570137,79.82285069,39.91142534,789.42813564,1420.52561758,0,394.71406782,197.35703391,98.67851696,540.29444547,9001.80647585,0,270.14722274,135.07361137,67.53680568,8.7,210242820799.16,0,4.35,2.17,1.09,0.0
1040,0000000000000000000000000000000000000000000000000000000000000410,783.98541611,171.85143426,0,391.99270805,195.99635403,97.99817701,265.722919,3085.08096744,0,132.8614595,66.43072975,33.21536487,52.74630696,19550.01830848,0,26.37315348,13.18657674,6.59328837,852.46,456602905969.52,0,426.23,213.12,106.56,0.0
1041,0000000000000000000000000000000000000000000000000000000000000411,384.37076293,90.65518319,0,192.18538147,96.09269073,48.04634537,565.38409787,1627.44396904,0,282.69204894,141.34602447,70.67301223,654.85921485,10313.03869385,0,327.42960742,163.71480371,81.85740186,623.6,240867469415.3,0,311.8,155.9,77.95,0.0
1042,0000000000000000000000000000000000000000000000000000000000000412,218.76760774,50.95570937,0,109.38380387,54.69190193,27.34595097,183.40475376,914.7580865,0,91.70237688,45.85118844,22.92559422,910.32651195,5796.7805473,0,455.16325598,227.58162799,113.79081399,14.67,135387435520.39,0,7.33,3.67,1.83,0.0
1043,0000000000000000000000000000000000000000000000000000000000000413,873.79468334,193.87754046,0,436.89734167,218.44867084,109.22433542,426.43549469,3480.49414116,0,213.21774734,106.60887367,53.30443684,471.15482802,22055.73367455,0,235.57741401,117.78870701,58.8943535,984.66,515125455648.19,0,492.33,246.16,123.08,0.0
1044,0000000000000000000000000000000000000000000000000000000000000414,237.53205941,61.59127166,0,118.7660297,59.38301485,29.69150743,847.97534016,1105.68794959,0,423.98767008,211.99383504,105.99691752,191.4045609,7006.69443886,0,95.70228045,47.85114023,23.92557011,388.73,163645731249.12,0,194.37,97.18,48.59,0.0
1045,0000000000000000000000000000000000000000000000000000000000000415,502.57765553,111.70794754,0,251.28882777,125.64441388,62.82220694,214.24500046,2005.38368724,0,107.12250023,53.56125011,26.78062506,571.32301346,12708.02556396,0,285.66150673,142.83075336,71.41537668,309.29,296803885811.5,0,154.65,77.32,38.66,0.0
1046,0000000000000000000000000000000000000000000000000000000000000416,233.70804477,62.31222518,0,116.85402238,58.42701119,29.2135056,910.34896798,1118.63052404,0,455.17448399,227.58724199,113.793621,612.61445662,7088.71094669,0,306.30722831,153.15361416,76.57680708,291.98,165561278090.08,0,145.99,73.0,36.5,0.0
1047,0000000000000000000000000000000000000000000000000000000000000417,567.04039346,133.57687859,0,283.52019673,141.76009837,70.88004918,864.69075636,2397.97524879,0,432.34537818,216.17268909,108.08634455,686.60637558,15195.86050151,0,343.30318779,171.65159389,85.82579695,254.9,354908826897.93,0,127.45,63.73,31.86,0.0
1048,0000000000000000000000000000000000000000000000000000000000000418,38.28998996,9.78232452,0,19.14499498,9.57249749,4.78624874,99.13548592,175.61251867,0,49.56774296,24.78387148,12.39193574,191.53299445,1112.848574,0,95.76649722,47.88324861,23.94162431,823.42,25991274523.36,0,411.71,205.85,102.93,0.0
1049,0000000000000000000000000000000000000000000000000000000000000419,584.18808615,130.14054685,0,292.09404308,146.04702154,73.02351077,268.92933482,2336.28614104,0,134.46466741,67.23233371,33.61616685,693.07265225,14804.93942082,0,346.53632613,173.26816306,86.63408153,512.06,345778620540.54,0,256.03,128.01,64.01,0.0
1050,000000000000000000000000000000000000000000000000000000000000041a,510.48866379,120.19426188,0,255.24433189,127.62216595,63.81108297,772.76306271,2157.73020057,0,386.38153135,193.19076568,96.59538284,622.02036891,13673.43851623,0,311.01018446,155.50509223,77.75254611,766.07,319351709169.48,0,383.04,191.52,95.76,0.0
1051,000000000000000000000000000000000000000000000000000000000000041b,180.64794947,47.88757601,0,90.32397473,45.16198737,22.58099368,714.97040475,859.67888473,0,357.48520237,178.74260119,89.37130059,255.05766853,5447.74614127,0,127.52883427,63.76441713,31.88220857,672.76,127235518649.6,0,336.38,168.19,84.09,0.0
1052,000000000000000000000000000000000000000000000000000000000000041c,283.61663017,68.22226842,0,141.80831509,70.90415754,35.45207877,546.00961986,1224.72775836,0,273.00480993,136.50240497,68.25120248,370.66258283,7761.04431344,0,185.33129142,92.66564571,46.33282285,190.38,181264044409.43,0,95.19,47.59,23.8,0.0
1053,000000000000000000000000000000000000000000000000000000000000041d,862.10835928,187.94580018,0,431.05417964,215.52708982,107.76354491,78.39725975,3374.00740105,0,39.19862988,19.59931494,9.79965747,867.72292945,21380.93202731,0,433.86146473,216.93073236,108.46536618,38.93,499365041094.23,0,19.46,9.73,4.87,0.0
1054,000000000000000000000000000000000000000000000000000000000000041e,704.13443097,153.42287728,0,352.06721549,176.03360774,88.01680387,150.62505319,2754.25108142,0,75.31252659,37.6562633,18.82813165,115.81663511,17453.56431035,0,57.90831756,28.95415878,14.47707939,844.45,407638911528.68,0,422.23,211.11,105.56,0.0
1055,000000000000000000000000000000000000000000000000000000000000041f,832.12602101,181.63585571,0,416.06301051,208.03150525,104.01575263,72.05053961,3260.73113017,0,36.02526981,18.0126349,9.00631745,980.28159439,20663.10543114,0,490.1407972,245.0703986,122.5351993,670.51,482599751946.01,0,335.25,167.63,83.81,0.0
1056,0000000000000000000000000000000000000000000000000000000000000420,34.56874699,19.75997767,0,17.2843735,8.64218675,4.32109337,966.20089106,354.73158125,0,483.10044553,241.55022277,120.77511138,399.32057848,2247.91795783,0,199.66028924,99.83014462,49.91507231,230.69,52501529959.29,0,115.34,57.67,28.84,0.0
1057,0000000000000000000000000000000000000000000000000000000000000421,31.93854527,13.9251271,0,15.96927263,7.98463632,3.99231816,482.27884734,249.98420745,0,241.13942367,120.56971184,60.28485592,678.00591788,1584.138596,0,339.00295894,169.50147947,84.75073973,412.69,36998547775.3,0,206.34,103.17,51.59,0.0
1058,0000000000000000000000000000000000000000000000000000000000000422,976.54112268,213.94651063,0,488.27056134,244.13528067,122.06764033,323.79478615,3840.77276307,0,161.89739307,80.94869654,40.47434827,51.18570102,24338.80297771,0,25.59285051,12.79642526,6.39821263,173.82,568447967264.53,0,86.91,43.45,21.73,0.0
